0.945	 0.4386998   0.4667933
0.946	 0.4380017   0.4661068
0.947	 0.4373247   0.4654427
0.948	 0.4366497   0.4647804
0.949	 0.4360087   0.4641538
0.95	 0.4353694   0.4635288
0.951	 0.4347829   0.4629594
0.952	 0.4341982   0.4623910
0.953	 0.4336882   0.4619006
0.954	 0.4331791   0.4614119
0.955	 0.4327652   0.4610215
0.956	 0.4323517   0.4606322
0.957	 0.4320486   0.4603571
0.958	 0.4317460   0.4600824
0.959	 0.4315285   0.4598964
0.96	 0.4313109   0.4597104
0.961	 0.4311324   0.4595660
0.962	 0.4309542   0.4594219
0.963	 0.4307718   0.4592741
0.964	 0.4305892   0.4591270
0.965	 0.4303936   0.4589671
0.966	 0.4301982   0.4588075
0.967	 0.4300181   0.4586643
0.968	 0.4298378   0.4585216
0.969	 0.4297034   0.4584261
0.97	 0.4295686   0.4583309
0.971	 0.4294977   0.4583021
0.972	 0.4294268   0.4582733
0.973	 0.4294096   0.4583004
0.974	 0.4293924   0.4583275
0.975	 0.4294149   0.4583969
0.976	 0.4294378   0.4584658
0.977	 0.4294865   0.4585630
0.978	 0.4295354   0.4586602
0.979	 0.4295969   0.4587712
0.98	 0.4296587   0.4588817
0.981	 0.4297236   0.4589978
0.982	 0.4297891   0.4591137
0.983	 0.4298570   0.4592335
0.984	 0.4299253   0.4593530
0.985	 0.4299989   0.4594794
0.986	 0.4300725   0.4596060
0.987	 0.4301561   0.4597435
0.988	 0.4302395   0.4598815
0.989	 0.4303378   0.4600350
0.99	 0.4305534   0.4603636
0.991	 0.4306711   0.4605385
0.992	 0.4308138   0.4607399
0.993	 0.4309564   0.4609419
0.994	 0.4311445   0.4611915
0.995	 0.4313328   0.4614413
0.996	 0.4315967   0.4617697
0.997	 0.4318606   0.4620988
0.998	 0.4322300   0.4625372
0.999	 0.4325999   0.4629762
1	 0.4334843   0.4639458
1.001	 0.4339484   0.4644825
1.002	 0.4344696   0.4650801
1.003	 0.4349922   0.4656786
1.004	 0.4355230   0.4662869
1.005	 0.4360550   0.4668966
1.006	 0.4365452   0.4674648
1.007	 0.4370368   0.4680336
1.008	 0.4374373   0.4685105
1.009	 0.4378386   0.4689881
1.01	 0.4381394   0.4693632
1.011	 0.4384407   0.4697388
1.012	 0.4386771   0.4700485
1.013	 0.4389137   0.4703585
1.014	 0.4391236   0.4706417
1.015	 0.4393336   0.4709252
1.016	 0.4395558   0.4712212
1.017	 0.4397781   0.4715174
1.018	 0.4400493   0.4718645
1.019	 0.4403206   0.4722120
1.02	 0.4406447   0.4726137
1.021	 0.4409691   0.4730158
1.022	 0.4413176   0.4734428
1.023	 0.4416666   0.4738704
1.024	 0.4420095   0.4742924
1.025	 0.4423529   0.4747150
1.026	 0.4426603   0.4751007
1.027	 0.4429681   0.4754868
1.028	 0.4432104   0.4758070
1.029	 0.4434533   0.4761271
1.03	 0.4436260   0.4763758
1.031	 0.4437988   0.4766248
1.032	 0.4439153   0.4768173
1.033	 0.4440318   0.4770098
1.034	 0.4441071   0.4771606
1.035	 0.4441823   0.4773115
1.036	 0.4442308   0.4774364
1.037	 0.4442793   0.4775614
1.038	 0.4443151   0.4776749
1.039	 0.4443510   0.4777884
1.04	 0.4443813   0.4778969
1.041	 0.4444112   0.4780060
1.042	 0.4444371   0.4781116
1.043	 0.4444630   0.4782173
1.044	 0.4444861   0.4783216
1.045	 0.4445095   0.4784255
1.046	 0.4445315   0.4785296
1.047	 0.4445537   0.4786337
1.048	 0.4445763   0.4787392
1.049	 0.4445992   0.4788443
1.05	 0.4446239   0.4789527
1.051	 0.4446489   0.4790608
1.052	 0.4446752   0.4791710
1.053	 0.4447013   0.4792818
1.054	 0.4447222   0.4793865
1.055	 0.4447430   0.4794911
1.056	 0.4447492   0.4795815
1.057	 0.4447555   0.4796720
1.058	 0.4447398   0.4797398
1.059	 0.4447237   0.4798081
1.06	 0.4444063   0.4795650
1.061	 0.4440890   0.4793226
1.062	 0.4437573   0.4790654
1.063	 0.4434258   0.4788092
1.064	 0.4430837   0.4785419
1.065	 0.4427421   0.4782751
1.066	 0.4423933   0.4780010
1.067	 0.4420448   0.4777278
1.068	 0.4416926   0.4774516
1.069	 0.4413409   0.4771757
1.07	 0.4409892   0.4769000
1.071	 0.4406378   0.4766251
1.072	 0.4402886   0.4763533
1.073	 0.4399402   0.4760815
1.074	 0.4395937   0.4758132
1.075	 0.4392480   0.4755449
1.076	 0.4389040   0.4752799
1.077	 0.4385607   0.4750148
1.078	 0.4382192   0.4747522
1.079	 0.4378781   0.4744901
1.08	 0.4375387   0.4742297
1.081	 0.4371998   0.4739698
1.082	 0.4368621   0.4737117
1.083	 0.4365252   0.4734538
1.084	 0.4361891   0.4731974
1.085	 0.4358538   0.4729410
1.086	 0.4355194   0.4726856
1.087	 0.4351852   0.4724310
1.088	 0.4348525   0.4721772
1.089	 0.4345202   0.4719238
1.09	 0.4341914   0.4716740
1.091	 0.4338631   0.4714246
1.092	 0.4335414   0.4711813
1.093	 0.4332198   0.4709388
1.094	 0.4329075   0.4707053
1.095	 0.4325957   0.4704721
1.096	 0.4322954   0.4702516
1.097	 0.4319958   0.4700310
1.098	 0.4317058   0.4698211
1.099	 0.4314164   0.4696111
1.1	 0.4313266   0.4696086
1.101	 0.4312372   0.4696057
1.102	 0.4311053   0.4695596
1.103	 0.4309734   0.4695136
1.104	 0.4306380   0.4692567
1.105	 0.4303032   0.4690001
1.106	 0.4298849   0.4686571
1.107	 0.4294671   0.4683153
1.108	 0.4289619   0.4678828
1.109	 0.4284583   0.4674510
1.11	 0.4279073   0.4669708
1.111	 0.4273577   0.4664919
1.112	 0.4268087   0.4660127
1.113	 0.4262606   0.4655352
1.114	 0.4257856   0.4651327
1.115	 0.4253116   0.4647311
1.116	 0.4248609   0.4643537
1.117	 0.4244114   0.4639767
1.118	 0.4239495   0.4635867
1.119	 0.4234885   0.4631975
1.12	 0.4229803   0.4627577
1.121	 0.4224729   0.4623194
1.122	 0.4218831   0.4617946
1.123	 0.4212952   0.4612708
1.124	 0.4205428   0.4605752
1.125	 0.4197927   0.4598824
1.126	 0.4188933   0.4590327
1.127	 0.4179971   0.4581867
1.128	 0.4169428   0.4571744
1.129	 0.4158931   0.4561673
1.13	 0.4147189   0.4550296
1.131	 0.4135509   0.4538977
1.132	 0.4122960   0.4526751
1.133	 0.4110481   0.4514592
