0.63	 0.0358141	 0.0176336         0.0358141	 0.0176336             0.0552303	 0.053457           
0.631	 0.0357571	 0.0175345                 0.0357571	 0.0175345             0.055224	 0.0534778  
0.632	 0.0356928	 0.0173869                 0.0356928	 0.0173869             0.0552292	 0.0534861  
0.633	 0.0356099	 0.0171963                 0.0356099	 0.0171963             0.054606	 0.0524794  
0.634	 0.0355204	 0.0169264                 0.0355204	 0.0169264             0.0540216	 0.0514685  
0.635	 0.0353966	 0.0165758                 0.0353966	 0.0165758             0.053454	 0.0504801  
0.636	 0.0352592	 0.0161595                 0.0352592	 0.0161595             0.0526298	 0.0490338  
0.637	 0.0350941	 0.0156428                 0.0350941	 0.0156428             0.0518509	 0.0476218  
0.638	 0.0349296	 0.0150589                 0.0349296	 0.0150589             0.0511276	 0.0462329  
0.639	 0.0347533	 0.0144084                 0.0347533	 0.0144084             0.0504471	 0.044878   
0.64	 0.0345752	 0.0137138         0.0345752	 0.0137138             0.0498078	 0.0435557          
0.641	 0.0344164	 0.0129927                 0.0344164	 0.0129927             0.0492201	 0.0422554  
0.642	 0.0342565	 0.0122596                 0.0342565	 0.0122596             0.0484406	 0.0406192  
0.643	 0.0341264	 0.0115251                 0.0341264	 0.0115251             0.0479386	 0.0393952  
0.644	 0.0340195	 0.0108066                 0.0340195	 0.0108066             0.0472731	 0.0378518  
0.645	 0.033931	 0.0101263                 0.033931	 0.0101263             0.0466499	 0.0363741  
0.646	 0.0338629	 0.00949063                0.0338629	 0.00949063            0.0460665	 0.0349591  
0.647	 0.0338308	 0.00890893                0.0338308	 0.00890893            0.0453634	 0.0332912  
0.648	 0.0338103	 0.00838717                0.0338103	 0.00838717            0.0448619	 0.0320058  
0.649	 0.0338029	 0.00793179                0.0338029	 0.00793179            0.0443819	 0.0307815  
0.65	 0.0338051	 0.00753493        0.0338051	 0.00753493            0.0439217	 0.029615           
0.651	 0.033828	 0.00719398                0.033828	 0.00719398            0.0440519	 0.0295379  
